id,text,payment_method,issue_type,priority,merchant_or_customer,cleaned_text,cluster
CASE-0001,card payment failed for customer transaction PO010001; gateway returned insufficient funds.,card,failed_payment,medium,customer,card payment fail customer transaction po010001 gateway returned insufficient funds,2
CASE-0002,upi payment was declined for merchant; operations must verify bank rejection.,upi,failed_payment,medium,merchant,upi payment decline merchant operations must verify bank rejection,4
CASE-0003,Payment attempt on ach did not complete for operations team because of timeout.,ach,failed_payment,medium,operations team,payment attempt ach did not complete operations team because timeout,3
CASE-0004,account holder reports a failed wire payment; reference PO010004 needs status review.,wire,failed_payment,medium,account holder,account holder reports fail wire payment reference po010004 needs status review,6
CASE-0005,merchant payment failed for customer transaction PO010005; gateway returned processor error.,merchant,failed_payment,medium,customer,merchant payment fail customer transaction po010005 gateway returned processor error,2
CASE-0006,card payment was declined for merchant; operations must verify insufficient funds.,card,failed_payment,medium,merchant,card payment decline merchant operations must verify insufficient funds,4
CASE-0007,Payment attempt on upi did not complete for operations team because of bank rejection.,upi,failed_payment,medium,operations team,payment attempt upi did not complete operations team because bank rejection,3
CASE-0008,account holder reports a failed ach payment; reference PO010008 needs status review.,ach,failed_payment,medium,account holder,account holder reports fail ach payment reference po010008 needs status review,6
CASE-0009,wire payment failed for customer transaction PO010009; gateway returned invalid account information.,wire,failed_payment,medium,customer,wire payment fail customer transaction po010009 gateway returned invalid account information,5
CASE-0010,merchant payment was declined for merchant; operations must verify processor error.,merchant,failed_payment,medium,merchant,merchant payment decline merchant operations must verify processor error,4
CASE-0011,Payment attempt on card did not complete for operations team because of insufficient funds.,card,failed_payment,medium,operations team,payment attempt card did not complete operations team because insufficient funds,3
CASE-0012,account holder reports a failed upi payment; reference PO010012 needs status review.,upi,failed_payment,medium,account holder,account holder reports fail upi payment reference po010012 needs status review,6
CASE-0013,ach payment failed for customer transaction PO010013; gateway returned timeout.,ach,failed_payment,medium,customer,ach payment fail customer transaction po010013 gateway returned timeout,2
CASE-0014,wire payment was declined for merchant; operations must verify invalid account information.,wire,failed_payment,medium,merchant,wire payment decline merchant operations must verify invalid account information,5
CASE-0015,Payment attempt on merchant did not complete for operations team because of processor error.,merchant,failed_payment,medium,operations team,payment attempt merchant did not complete operations team because processor error,3
CASE-0016,account holder reports a failed card payment; reference PO010016 needs status review.,card,failed_payment,medium,account holder,account holder reports fail card payment reference po010016 needs status review,6
CASE-0017,upi payment failed for customer transaction PO010017; gateway returned bank rejection.,upi,failed_payment,medium,customer,upi payment fail customer transaction po010017 gateway returned bank rejection,5
CASE-0018,ach payment was declined for merchant; operations must verify timeout.,ach,failed_payment,medium,merchant,ach payment decline merchant operations must verify timeout,4
CASE-0019,Payment attempt on wire did not complete for operations team because of invalid account information.,wire,failed_payment,medium,operations team,payment attempt wire did not complete operations team because invalid account information,3
CASE-0020,account holder reports a failed merchant payment; reference PO010020 needs status review.,merchant,failed_payment,medium,account holder,account holder reports fail merchant payment reference po010020 needs status review,6
CASE-0021,card payment failed for customer transaction PO010021; gateway returned insufficient funds.,card,failed_payment,medium,customer,card payment fail customer transaction po010021 gateway returned insufficient funds,2
CASE-0022,upi payment was declined for merchant; operations must verify bank rejection.,upi,failed_payment,medium,merchant,upi payment decline merchant operations must verify bank rejection,4
CASE-0023,Payment attempt on ach did not complete for operations team because of timeout.,ach,failed_payment,medium,operations team,payment attempt ach did not complete operations team because timeout,3
CASE-0024,account holder reports a failed wire payment; reference PO010024 needs status review.,wire,failed_payment,medium,account holder,account holder reports fail wire payment reference po010024 needs status review,6
CASE-0025,merchant payment failed for customer transaction PO010025; gateway returned processor error.,merchant,failed_payment,medium,customer,merchant payment fail customer transaction po010025 gateway returned processor error,2
CASE-0026,card payment was declined for merchant; operations must verify insufficient funds.,card,failed_payment,medium,merchant,card payment decline merchant operations must verify insufficient funds,4
CASE-0027,Payment attempt on upi did not complete for operations team because of bank rejection.,upi,failed_payment,medium,operations team,payment attempt upi did not complete operations team because bank rejection,3
CASE-0028,account holder reports a failed ach payment; reference PO010028 needs status review.,ach,failed_payment,medium,account holder,account holder reports fail ach payment reference po010028 needs status review,6
CASE-0029,wire payment failed for customer transaction PO010029; gateway returned invalid account information.,wire,failed_payment,medium,customer,wire payment fail customer transaction po010029 gateway returned invalid account information,5
CASE-0030,merchant payment was declined for merchant; operations must verify processor error.,merchant,failed_payment,medium,merchant,merchant payment decline merchant operations must verify processor error,4
CASE-0031,merchant reports two upi debits for transaction PO020001.,upi,duplicate_debit,medium,merchant,merchant reports two upi debit transaction po020001,4
CASE-0032,Duplicate ach charge appears in the ledger for operations team reference PO020002.,ach,duplicate_debit,medium,operations team,duplicate ach charge appears ledger operations team reference po020002,0
CASE-0033,The same wire payment was captured twice; reconcile authorization PO020003.,wire,duplicate_debit,medium,account holder,same wire payment captured twice reconcile authorization po020003,7
CASE-0034,Repeated debit detected on merchant; verify reversal eligibility for customer.,merchant,duplicate_debit,medium,customer,repeated debit detected merchant verify reversal eligibility customer,4
CASE-0035,merchant reports two card debits for transaction PO020005.,card,duplicate_debit,medium,merchant,merchant reports two card debit transaction po020005,4
CASE-0036,Duplicate upi charge appears in the ledger for operations team reference PO020006.,upi,duplicate_debit,medium,operations team,duplicate upi charge appears ledger operations team reference po020006,0
CASE-0037,The same ach payment was captured twice; reconcile authorization PO020007.,ach,duplicate_debit,medium,account holder,same ach payment captured twice reconcile authorization po020007,7
CASE-0038,Repeated debit detected on wire; verify reversal eligibility for customer.,wire,duplicate_debit,medium,customer,repeated debit detected wire verify reversal eligibility customer,4
CASE-0039,merchant reports two merchant debits for transaction PO020009.,merchant,duplicate_debit,medium,merchant,merchant reports two merchant debit transaction po020009,4
CASE-0040,Duplicate card charge appears in the ledger for operations team reference PO020010.,card,duplicate_debit,medium,operations team,duplicate card charge appears ledger operations team reference po020010,0
CASE-0041,The same upi payment was captured twice; reconcile authorization PO020011.,upi,duplicate_debit,medium,account holder,same upi payment captured twice reconcile authorization po020011,7
CASE-0042,Repeated debit detected on ach; verify reversal eligibility for customer.,ach,duplicate_debit,medium,customer,repeated debit detected ach verify reversal eligibility customer,4
CASE-0043,merchant reports two wire debits for transaction PO020013.,wire,duplicate_debit,medium,merchant,merchant reports two wire debit transaction po020013,4
CASE-0044,Duplicate merchant charge appears in the ledger for operations team reference PO020014.,merchant,duplicate_debit,medium,operations team,duplicate merchant charge appears ledger operations team reference po020014,0
CASE-0045,The same card payment was captured twice; reconcile authorization PO020015.,card,duplicate_debit,medium,account holder,same card payment captured twice reconcile authorization po020015,7
CASE-0046,Repeated debit detected on upi; verify reversal eligibility for customer.,upi,duplicate_debit,medium,customer,repeated debit detected upi verify reversal eligibility customer,4
CASE-0047,merchant reports two ach debits for transaction PO020017.,ach,duplicate_debit,medium,merchant,merchant reports two ach debit transaction po020017,4
CASE-0048,Duplicate wire charge appears in the ledger for operations team reference PO020018.,wire,duplicate_debit,medium,operations team,duplicate wire charge appears ledger operations team reference po020018,0
CASE-0049,The same merchant payment was captured twice; reconcile authorization PO020019.,merchant,duplicate_debit,medium,account holder,same merchant payment captured twice reconcile authorization po020019,7
CASE-0050,Repeated debit detected on card; verify reversal eligibility for customer.,card,duplicate_debit,medium,customer,repeated debit detected card verify reversal eligibility customer,4
CASE-0051,merchant reports two upi debits for transaction PO020021.,upi,duplicate_debit,medium,merchant,merchant reports two upi debit transaction po020021,4
CASE-0052,Duplicate ach charge appears in the ledger for operations team reference PO020022.,ach,duplicate_debit,medium,operations team,duplicate ach charge appears ledger operations team reference po020022,0
CASE-0053,The same wire payment was captured twice; reconcile authorization PO020023.,wire,duplicate_debit,medium,account holder,same wire payment captured twice reconcile authorization po020023,7
CASE-0054,Repeated debit detected on merchant; verify reversal eligibility for customer.,merchant,duplicate_debit,medium,customer,repeated debit detected merchant verify reversal eligibility customer,4
CASE-0055,merchant reports two card debits for transaction PO020025.,card,duplicate_debit,medium,merchant,merchant reports two card debit transaction po020025,4
CASE-0056,Duplicate upi charge appears in the ledger for operations team reference PO020026.,upi,duplicate_debit,medium,operations team,duplicate upi charge appears ledger operations team reference po020026,0
CASE-0057,The same ach payment was captured twice; reconcile authorization PO020027.,ach,duplicate_debit,medium,account holder,same ach payment captured twice reconcile authorization po020027,7
CASE-0058,Repeated debit detected on wire; verify reversal eligibility for customer.,wire,duplicate_debit,medium,customer,repeated debit detected wire verify reversal eligibility customer,4
CASE-0059,merchant reports two merchant debits for transaction PO020029.,merchant,duplicate_debit,medium,merchant,merchant reports two merchant debit transaction po020029,4
CASE-0060,Duplicate card charge appears in the ledger for operations team reference PO020030.,card,duplicate_debit,medium,operations team,duplicate card charge appears ledger operations team reference po020030,0
CASE-0061,operations team requested a refund for the ach payment PO030001.,ach,refund_request,medium,operations team,operations team request refund ach payment po030001,4
CASE-0062,Refund request received for wire transaction PO030002; verify eligibility.,wire,refund_request,medium,account holder,refund request receive wire transaction po030002 verify eligibility,4
CASE-0063,Customer asks to reverse a merchant payment after the original transaction.,merchant,refund_request,medium,customer,customer asks reverse merchant payment after original transaction,2
CASE-0064,Merchant submitted a refund case for card; authorization and status are required.,card,refund_request,medium,merchant,merchant submitted refund case card authorization status required,7
CASE-0065,operations team requested a refund for the upi payment PO030005.,upi,refund_request,medium,operations team,operations team request refund upi payment po030005,4
