id,text,payment_method,issue_type,priority,merchant_or_customer
CASE-0001,card payment failed for customer transaction PO010001; gateway returned insufficient funds.,card,failed_payment,medium,customer
CASE-0002,upi payment was declined for merchant; operations must verify bank rejection.,upi,failed_payment,medium,merchant
CASE-0003,Payment attempt on ach did not complete for operations team because of timeout.,ach,failed_payment,medium,operations team
CASE-0004,account holder reports a failed wire payment; reference PO010004 needs status review.,wire,failed_payment,medium,account holder
CASE-0005,merchant payment failed for customer transaction PO010005; gateway returned processor error.,merchant,failed_payment,medium,customer
CASE-0006,card payment was declined for merchant; operations must verify insufficient funds.,card,failed_payment,medium,merchant
CASE-0007,Payment attempt on upi did not complete for operations team because of bank rejection.,upi,failed_payment,medium,operations team
CASE-0008,account holder reports a failed ach payment; reference PO010008 needs status review.,ach,failed_payment,medium,account holder
CASE-0009,wire payment failed for customer transaction PO010009; gateway returned invalid account information.,wire,failed_payment,medium,customer
CASE-0010,merchant payment was declined for merchant; operations must verify processor error.,merchant,failed_payment,medium,merchant
CASE-0011,Payment attempt on card did not complete for operations team because of insufficient funds.,card,failed_payment,medium,operations team
CASE-0012,account holder reports a failed upi payment; reference PO010012 needs status review.,upi,failed_payment,medium,account holder
CASE-0013,ach payment failed for customer transaction PO010013; gateway returned timeout.,ach,failed_payment,medium,customer
CASE-0014,wire payment was declined for merchant; operations must verify invalid account information.,wire,failed_payment,medium,merchant
CASE-0015,Payment attempt on merchant did not complete for operations team because of processor error.,merchant,failed_payment,medium,operations team
CASE-0016,account holder reports a failed card payment; reference PO010016 needs status review.,card,failed_payment,medium,account holder
CASE-0017,upi payment failed for customer transaction PO010017; gateway returned bank rejection.,upi,failed_payment,medium,customer
CASE-0018,ach payment was declined for merchant; operations must verify timeout.,ach,failed_payment,medium,merchant
CASE-0019,Payment attempt on wire did not complete for operations team because of invalid account information.,wire,failed_payment,medium,operations team
CASE-0020,account holder reports a failed merchant payment; reference PO010020 needs status review.,merchant,failed_payment,medium,account holder
CASE-0021,card payment failed for customer transaction PO010021; gateway returned insufficient funds.,card,failed_payment,medium,customer
